Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,Revenue,Order_Date,Sales_Channel,Region,Profit,Month_Name,Year,Day_Type,Year_Quarter
2000,Kids,Training,SuperRep Go,M,2,0.0,2024-03-09,Online,Bangalore,770.45,March,2024,Weekend,1
2001,Women,Soccer,Tiempo Legend,M,3,0.0,2024-07-09,Retail,Hyderabad,112.53,July,2024,Working Day,3
2002,Women,Soccer,Premier III,M,4,0.0,2024-10-04,Retail,Mumbai,3337.34,October,2024,Working Day,4
2003,Kids,Lifestyle,Blazer Mid,L,2,0.0,2024-10-04,Online,Pune,3376.85,October,2024,Working Day,4
2004,Kids,Running,React Infinity,XL,2,0.0,2024-09-12,Retail,Delhi,187.89,September,2024,Working Day,3
2005,Women,Training,Flex Trainer,M,1,0.0,2025-06-04,Retail,Delhi,1415.98,June,2025,Working Day,2
2006,Men,Training,SuperRep Go,M,2,0.0,2025-06-04,Online,Bangalore,1802.09,June,2025,Working Day,2
2007,Kids,Training,SuperRep Go,M,1,0.0,2024-10-11,Retail,Bangalore,2928.36,October,2024,Working Day,4
2008,Women,Soccer,Premier III,11,1,0.0,2024-10-11,Online,Hyderabad,731.18,October,2024,Working Day,4
2009,Men,Soccer,Mercurial Superfly,M,4,0.0,2025-01-16,Online,Pune,3929.61,January,2025,Working Day,1
2010,Kids,Lifestyle,Waffle One,L,1,0.0,2025-01-16,Online,Pune,1965.56,January,2025,Working Day,1
2011,Women,Training,Flex Trainer,L,1,0.0,2024-09-01,Retail,Hyderabad,1667.08,September,2024,Weekend,3
2012,Women,Soccer,Phantom GT,UNKNOWN,2,0.0,2024-09-01,Retail,Hyderabad,914.59,September,2024,Weekend,3
2013,Kids,Training,SuperRep Go,UNKNOWN,2,0.0,2024-09-19,Online,Hyderabad,299.34,September,2024,Working Day,3
2014,Women,Running,React Infinity,11,2,0.0,2025-04-12,Online,Bangalore,1044.4,April,2025,Weekend,2
2015,Kids,Basketball,Air Jordan,UNKNOWN,2,0.0,2025-05-31,Retail,Kolkata,1193.21,May,2025,Weekend,2
2016,Women,Basketball,Air Jordan,M,1,6910.22,2025-03-17,Retail,Hyderabad,2452.69,March,2025,Working Day,1
2017,Women,Basketball,Air Jordan,9,4,0.0,2025-03-17,Retail,Delhi,1946.24,March,2025,Working Day,1
2018,Kids,Lifestyle,Blazer Mid,UNKNOWN,1,0.0,2024-11-13,Online,Delhi,2109.48,November,2024,Working Day,4
2019,Kids,Running,Air Zoom,6,0,0.0,2025-01-17,Online,Hyderabad,1915.24,January,2025,Working Day,1
2020,Kids,Soccer,Tiempo Legend,L,1,0.0,2025-03-28,Retail,Mumbai,439.96,March,2025,Working Day,1
2021,Men,Running,Free RN,L,1,2409.48,2024-11-19,Retail,Hyderabad,1120.49,November,2024,Working Day,4
